ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-08-05 20:00:00+00:00,32,2,773,174.43,174.43,174.31,174.31,1575617,AMD
2025-08-05 20:00:01+00:00,32,2,773,174.4,174.42,174.27,174.42,130,AMD
2025-08-05 20:00:04+00:00,32,2,773,174.47,174.47,174.47,174.47,50,AMD
2025-08-05 20:00:05+00:00,32,2,773,174.5,174.5,174.5,174.5,20,AMD
2025-08-05 20:00:06+00:00,32,2,773,174.46,174.67,174.46,174.67,3832,AMD
2025-08-05 20:00:07+00:00,32,2,773,174.66,174.67,174.66,174.67,243,AMD
2025-08-05 20:00:08+00:00,32,2,773,174.5,174.5,174.39,174.39,197,AMD
2025-08-05 20:00:10+00:00,32,2,773,174.53,174.53,174.53,174.53,22,AMD
2025-08-05 20:00:12+00:00,32,2,773,174.63,174.63,174.63,174.63,50,AMD
2025-08-05 20:00:13+00:00,32,2,773,174.51,174.51,174.51,174.51,10,AMD
2025-08-05 20:00:14+00:00,32,2,773,174.64,174.64,174.64,174.64,1,AMD
2025-08-05 20:00:15+00:00,32,2,773,174.51,174.51,174.51,174.51,10,AMD
2025-08-05 20:00:17+00:00,32,2,773,174.52,174.52,174.48,174.48,200,AMD
2025-08-05 20:00:19+00:00,32,2,773,174.52,174.52,174.52,174.52,7,AMD
2025-08-05 20:00:20+00:00,32,2,773,174.51,174.51,174.51,174.51,25,AMD
2025-08-05 20:00:21+00:00,32,2,773,174.5,174.5,174.48,174.48,10,AMD
2025-08-05 20:00:22+00:00,32,2,773,174.5,174.5,174.41,174.41,989,AMD
2025-08-05 20:00:24+00:00,32,2,773,174.55,174.57,174.55,174.57,70,AMD
2025-08-05 20:00:26+00:00,32,2,773,174.53,174.59,174.53,174.59,50,AMD
2025-08-05 20:00:27+00:00,32,2,773,174.59,174.59,174.59,174.59,10,AMD
2025-08-05 20:00:28+00:00,32,2,773,174.59,174.63,174.59,174.63,100,AMD
2025-08-05 20:00:29+00:00,32,2,773,174.62,174.62,174.62,174.62,5,AMD
2025-08-05 20:00:31+00:00,32,2,773,174.64,174.64,174.64,174.64,35,AMD
2025-08-05 20:00:33+00:00,32,2,773,174.63,174.64,174.6,174.6,105,AMD
2025-08-05 20:00:34+00:00,32,2,773,174.6,174.61,174.6,174.61,55,AMD
2025-08-05 20:00:35+00:00,32,2,773,174.56,174.56,174.56,174.56,7,AMD
2025-08-05 20:00:36+00:00,32,2,773,174.58,174.58,174.48,174.48,130,AMD
2025-08-05 20:00:37+00:00,32,2,773,174.55,174.55,174.55,174.55,20,AMD
2025-08-05 20:00:38+00:00,32,2,773,174.46,174.46,174.45,174.45,1897,AMD
2025-08-05 20:00:39+00:00,32,2,773,174.54,174.54,174.54,174.54,100,AMD
2025-08-05 20:00:40+00:00,32,2,773,174.55,174.55,174.43,174.43,88,AMD
2025-08-05 20:00:41+00:00,32,2,773,174.54,174.55,174.54,174.55,176,AMD
2025-08-05 20:00:42+00:00,32,2,773,174.55,174.55,174.55,174.55,125,AMD
2025-08-05 20:00:43+00:00,32,2,773,174.6,174.68,174.6,174.61,229,AMD
2025-08-05 20:00:44+00:00,32,2,773,174.62,174.62,174.6,174.6,68,AMD
2025-08-05 20:00:45+00:00,32,2,773,174.62,174.63,174.62,174.63,25,AMD
2025-08-05 20:00:46+00:00,32,2,773,174.63,174.65,174.63,174.65,465,AMD
2025-08-05 20:00:47+00:00,32,2,773,174.71,174.82,174.71,174.73,712,AMD
2025-08-05 20:00:49+00:00,32,2,773,174.9,174.92,174.77,174.92,313,AMD
2025-08-05 20:00:51+00:00,32,2,773,174.9,174.9,174.79,174.79,56,AMD
2025-08-05 20:00:54+00:00,32,2,773,174.77,174.77,174.76,174.76,214,AMD
2025-08-05 20:00:55+00:00,32,2,773,174.73,174.73,174.73,174.73,50,AMD
2025-08-05 20:00:56+00:00,32,2,773,174.76,174.9,174.76,174.9,1614,AMD
2025-08-05 20:00:58+00:00,32,2,773,174.84,174.9,174.76,174.9,217,AMD
2025-08-05 20:01:00+00:00,32,2,773,174.84,174.84,174.84,174.84,1,AMD
2025-08-05 20:01:02+00:00,32,2,773,174.79,174.79,174.76,174.76,310,AMD
2025-08-05 20:01:03+00:00,32,2,773,174.76,174.76,174.76,174.76,16,AMD
2025-08-05 20:01:04+00:00,32,2,773,174.76,174.76,174.71,174.76,860,AMD
2025-08-05 20:01:05+00:00,32,2,773,174.76,174.77,174.76,174.77,43,AMD
2025-08-05 20:01:07+00:00,32,2,773,174.78,174.85,174.76,174.85,138,AMD
2025-08-05 20:01:08+00:00,32,2,773,174.89,174.89,174.89,174.89,1,AMD
2025-08-05 20:01:09+00:00,32,2,773,174.86,174.86,174.86,174.86,10,AMD
2025-08-05 20:01:11+00:00,32,2,773,174.88,174.9,174.88,174.9,155,AMD
2025-08-05 20:01:12+00:00,32,2,773,174.9,174.9,174.83,174.83,251,AMD
2025-08-05 20:01:13+00:00,32,2,773,174.83,174.83,174.83,174.83,80,AMD
2025-08-05 20:01:14+00:00,32,2,773,174.84,174.84,174.8,174.82,214,AMD
2025-08-05 20:01:15+00:00,32,2,773,174.84,174.84,174.83,174.83,345,AMD
2025-08-05 20:01:16+00:00,32,2,773,174.78,174.78,174.78,174.78,130,AMD
2025-08-05 20:01:18+00:00,32,2,773,174.76,174.76,174.75,174.75,292,AMD
2025-08-05 20:01:19+00:00,32,2,773,174.72,174.77,174.65,174.77,1035,AMD
2025-08-05 20:01:21+00:00,32,2,773,174.77,174.82,174.77,174.82,100,AMD
2025-08-05 20:01:25+00:00,32,2,773,174.75,174.75,174.75,174.75,100,AMD
2025-08-05 20:01:26+00:00,32,2,773,174.69,174.8,174.69,174.8,5,AMD
2025-08-05 20:01:28+00:00,32,2,773,174.8,174.84,174.8,174.84,1359,AMD
2025-08-05 20:01:31+00:00,32,2,773,174.78,174.78,174.78,174.78,14,AMD
2025-08-05 20:01:33+00:00,32,2,773,174.78,174.78,174.78,174.78,18,AMD
2025-08-05 20:01:34+00:00,32,2,773,174.77,174.77,174.74,174.74,221,AMD
2025-08-05 20:01:35+00:00,32,2,773,174.77,174.78,174.77,174.78,122,AMD
2025-08-05 20:01:41+00:00,32,2,773,174.73,174.73,174.71,174.71,1218,AMD
2025-08-05 20:01:42+00:00,32,2,773,174.63,174.7,174.63,174.7,103,AMD
2025-08-05 20:01:44+00:00,32,2,773,174.66,174.66,174.66,174.66,10,AMD
2025-08-05 20:01:45+00:00,32,2,773,174.66,174.66,174.62,174.62,100,AMD
2025-08-05 20:01:47+00:00,32,2,773,174.68,174.68,174.68,174.68,100,AMD
2025-08-05 20:01:48+00:00,32,2,773,174.73,174.73,174.73,174.73,30,AMD
