event_id,ticker,company,quarter,fiscal_year,call_date,call_start_ts,transcript_source,market_source,transcript_file,market_file,notes
AAPL_2025-01-30,AAPL,Apple Inc.,Q1,2025,2025-01-30,2025-01-30 22:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q1 2025 Earnings Call, Jan 30, 2025.rtf",AAPL_Q1_2025.csv,
AAPL_2025-05-01,AAPL,Apple Inc.,Q2,2025,2025-05-01,2025-05-01 21:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q2 2025 Earnings Call, May 01, 2025.rtf",AAPL_Q2_2025.csv,
AAPL_2025-07-31,AAPL,Apple Inc.,Q3,2025,2025-07-31,2025-07-31 21:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q3 2025 Earnings Call, Jul 31, 2025.rtf",AAPL_Q3_2025.csv,
AAPL_2025-10-30,AAPL,Apple Inc.,Q4,2025,2025-10-30,2025-10-30 21:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q4 2025 Earnings Call, Oct 30, 2025.rtf",AAPL_Q4_2025.csv,
AAPL_2026-01-29,AAPL,Apple Inc.,Q1,2026,2026-01-29,2026-01-29 22:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q1 2026 Earnings Call, Jan 29, 2026.rtf",AAPL_Q1_2026.csv,
AMD_2025-02-04,AMD,"Advanced Micro Devices, Inc.",Q4,2024,2025-02-04,2025-02-04 22:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q4 2024 Earnings Call, Feb 04, 2025.rtf",AMD_Q4_2024.csv,
AMD_2025-05-06,AMD,"Advanced Micro Devices, Inc.",Q1,2025,2025-05-06,2025-05-06 21:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q1 2025 Earnings Call, May 06, 2025.rtf",AMD_Q1_2025.csv,
AMD_2025-08-05,AMD,"Advanced Micro Devices, Inc.",Q2,2025,2025-08-05,2025-08-05 21:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q2 2025 Earnings Call, Aug 05, 2025.rtf",AMD_Q2_2025.csv,
AMD_2025-11-04,AMD,"Advanced Micro Devices, Inc.",Q3,2025,2025-11-04,2025-11-04 22:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q3 2025 Earnings Call, Nov 04, 2025.rtf",AMD_Q3_2025.csv,
AMD_2026-02-03,AMD,"Advanced Micro Devices, Inc.",Q4,2025,2026-02-03,2026-02-03 22:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q4 2025 Earnings Call, Feb 03, 2026.rtf",AMD_Q4_2025.csv,
AMZN_2025-02-06,AMZN,"Amazon.com, Inc.",Q4,2024,2025-02-06,2025-02-06 22:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q4 2024 Earnings Call, Feb 06, 2025.rtf",AMZN_Q4_2024.csv,
AMZN_2025-05-01,AMZN,"Amazon.com, Inc.",Q1,2025,2025-05-01,2025-05-01 21:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q1 2025 Earnings Call, May 01, 2025.rtf",AMZN_Q1_2025.csv,
AMZN_2025-07-31,AMZN,"Amazon.com, Inc.",Q2,2025,2025-07-31,2025-07-31 21:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q2 2025 Earnings Call, Jul 31, 2025.rtf",AMZN_Q2_2025.csv,
AMZN_2025-10-30,AMZN,"Amazon.com, Inc.",Q3,2025,2025-10-30,2025-10-30 21:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q3 2025 Earnings Call, Oct 30, 2025.rtf",AMZN_Q3_2025.csv,
AMZN_2026-02-05,AMZN,"Amazon.com, Inc.",Q4,2025,2026-02-05,2026-02-05 22:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q4 2025 Earnings Call, Feb 05, 2026.rtf",AMZN_Q4_2025.csv,
AVGO_2024-12-12,AVGO,Broadcom Inc.,Q4,2024,2024-12-12,2024-12-12 22:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q4 2024 Earnings Call, Dec 12, 2024.rtf",AVGO_Q4_2024.csv,
AVGO_2025-03-06,AVGO,Broadcom Inc.,Q1,2025,2025-03-06,2025-03-06 22:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q1 2025 Earnings Call, Mar 06, 2025.rtf",AVGO_Q1_2025.csv,
AVGO_2025-06-05,AVGO,Broadcom Inc.,Q2,2025,2025-06-05,2025-06-05 21:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q2 2025 Earnings Call, Jun 05, 2025.rtf",AVGO_Q2_2025.csv,
AVGO_2025-09-04,AVGO,Broadcom Inc.,Q3,2025,2025-09-04,2025-09-04 21:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q3 2025 Earnings Call, Sep 04, 2025.rtf",AVGO_Q3_2025.csv,
AVGO_2025-12-11,AVGO,Broadcom Inc.,Q4,2025,2025-12-11,2025-12-11 22:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q4 2025 Earnings Call, Dec 11, 2025.rtf",AVGO_Q4_2025.csv,
GOOGL_2025-02-04,GOOGL,Alphabet Inc.,Q4,2024,2025-02-04,2025-02-04 21:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q4 2024 Earnings Call, Feb 04, 2025.rtf",GOOGL_Q4_2024.csv,
GOOGL_2025-04-24,GOOGL,Alphabet Inc.,Q1,2025,2025-04-24,2025-04-24 20:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q1 2025 Earnings Call, Apr 24, 2025.rtf",GOOGL_Q1_2025.csv,
GOOGL_2025-07-23,GOOGL,Alphabet Inc.,Q2,2025,2025-07-23,2025-07-23 20:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q2 2025 Earnings Call, Jul 23, 2025.rtf",GOOGL_Q2_2025.csv,
GOOGL_2025-10-29,GOOGL,Alphabet Inc.,Q3,2025,2025-10-29,2025-10-29 21:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q3 2025 Earnings Call, Oct 29, 2025.rtf",GOOGL_Q3_2025.csv,
GOOGL_2026-02-04,GOOGL,Alphabet Inc.,Q4,2025,2026-02-04,2026-02-04 21:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q4 2025 Earnings Call, Feb 04, 2026.rtf",GOOGL_Q4_2025.csv,
META_2025-01-29,META,"Meta Platforms, Inc.",Q4,2024,2025-01-29,2025-01-29 22:00:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q4 2024 Earnings Call, Jan 29, 2025.rtf",META_Q4_2024.csv,
META_2025-04-30,META,"Meta Platforms, Inc.",Q1,2025,2025-04-30,2025-04-30 21:00:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q1 2025 Earnings Call, Apr 30, 2025.rtf",META_Q1_2025.csv,
META_2025-07-30,META,"Meta Platforms, Inc.",Q2,2025,2025-07-30,2025-07-30 21:00:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q2 2025 Earnings Call, Jul 30, 2025.rtf",META_Q2_2025.csv,
META_2025-10-29,META,"Meta Platforms, Inc.",Q3,2025,2025-10-29,2025-10-29 20:30:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q3 2025 Earnings Call, Oct 29, 2025.rtf",META_Q3_2025.csv,
META_2026-01-28,META,"Meta Platforms, Inc.",Q4,2025,2026-01-28,2026-01-28 21:30:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q4 2025 Earnings Call, Jan 28, 2026.rtf",META_Q4_2025.csv,
MSFT_2025-01-29,MSFT,Microsoft Corporation,Q2,2025,2025-01-29,2025-01-29 22:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q2 2025 Earnings Call, Jan 29, 2025.rtf",MSFT_Q2_2025.csv,
MSFT_2025-04-30,MSFT,Microsoft Corporation,Q3,2025,2025-04-30,2025-04-30 21:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q3 2025 Earnings Call, Apr 30, 2025.rtf",MSFT_Q3_2025.csv,
MSFT_2025-07-30,MSFT,Microsoft Corporation,Q4,2025,2025-07-30,2025-07-30 21:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q4 2025 Earnings Call, Jul 30, 2025.rtf",MSFT_Q4_2025.csv,
MSFT_2025-10-29,MSFT,Microsoft Corporation,Q1,2026,2025-10-29,2025-10-29 21:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q1 2026 Earnings Call, Oct 29, 2025.rtf",MSFT_Q1_2026.csv,
MSFT_2026-01-28,MSFT,Microsoft Corporation,Q2,2026,2026-01-28,2026-01-28 22:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q2 2026 Earnings Call, Jan 28, 2026.rtf",MSFT_Q2_2026.csv,
MU_2024-12-18,MU,"Micron Technology, Inc.",Q1,2025,2024-12-18,2024-12-18 21:30:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q1 2025 Earnings Call, Dec 18, 2024.rtf",MU_Q1_2025.csv,
MU_2025-03-20,MU,"Micron Technology, Inc.",Q2,2025,2025-03-20,2025-03-20 22:00:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q2 2025 Earnings Call, Mar 20, 2025.rtf",MU_Q2_2025.csv,
MU_2025-06-25,MU,"Micron Technology, Inc.",Q3,2025,2025-06-25,2025-06-25 22:00:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q3 2025 Earnings Call, Jun 25, 2025.rtf",MU_Q3_2025.csv,
MU_2025-09-23,MU,"Micron Technology, Inc.",Q4,2025,2025-09-23,2025-09-23 22:00:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q4 2025 Earnings Call, Sep 23, 2025.rtf",MU_Q4_2025.csv,
MU_2025-12-17,MU,"Micron Technology, Inc.",Q1,2026,2025-12-17,2025-12-17 23:00:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q1 2026 Earnings Call, Dec 17, 2025.rtf",MU_Q1_2026.csv,
NVDA_2024-11-20,NVDA,NVIDIA Corporation,Q3,2025,2024-11-20,2024-11-20 22:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q3 2025 Earnings Call, Nov 20, 2024.rtf",NVDA_Q3_2025.csv,
NVDA_2025-02-26,NVDA,NVIDIA Corporation,Q4,2025,2025-02-26,2025-02-26 22:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q4 2025 Earnings Call, Feb 26, 2025.rtf",NVDA_Q4_2025.csv,
NVDA_2025-05-28,NVDA,NVIDIA Corporation,Q1,2026,2025-05-28,2025-05-28 21:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q1 2026 Earnings Call, May 28, 2025.rtf",NVDA_Q1_2026.csv,
NVDA_2025-08-27,NVDA,NVIDIA Corporation,Q2,2026,2025-08-27,2025-08-27 21:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q2 2026 Earnings Call, Aug 27, 2025.rtf",NVDA_Q2_2026.csv,
NVDA_2025-11-19,NVDA,NVIDIA Corporation,Q3,2026,2025-11-19,2025-11-19 22:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q3 2026 Earnings Call, Nov 19, 2025.rtf",NVDA_Q3_2026.csv,
ORCL_2024-12-09,ORCL,Oracle Corporation,Q2,2025,2024-12-09,2024-12-09 22:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q2 2025 Earnings Call, Dec 09, 2024.rtf",ORCL_Q2_2025.csv,
ORCL_2025-03-10,ORCL,Oracle Corporation,Q3,2025,2025-03-10,2025-03-10 21:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q3 2025 Earnings Call, Mar 10, 2025.rtf",ORCL_Q3_2025.csv,
ORCL_2025-06-11,ORCL,Oracle Corporation,Q4,2025,2025-06-11,2025-06-11 21:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q4 2025 Earnings Call, Jun 11, 2025.rtf",ORCL_Q4_2025.csv,
ORCL_2025-09-09,ORCL,Oracle Corporation,Q1,2026,2025-09-09,2025-09-09 21:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q1 2026 Earnings Call, Sep 09, 2025.rtf",ORCL_Q1_2026.csv,
ORCL_2025-12-10,ORCL,Oracle Corporation,Q2,2026,2025-12-10,2025-12-10 22:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q2 2026 Earnings Call, Dec 10, 2025.rtf",ORCL_Q2_2026.csv,
