event_id,ticker,company,quarter,fiscal_year,call_date,call_start_ts,transcript_source,market_source,transcript_file,market_file,notes,mkt_rows_total,mkt_rows_in_window,mkt_rows_dropped_outside_window,mkt_n_duplicate_ts,mkt_ts_out_of_order,mkt_gap_at_call_start_sec,mkt_missing_first_5min,mkt_n_neg_removed,mkt_n_after_dedup,mkt_n_outliers_flagged,mkt_gap_seconds_total,tx_has_qa,tx_n_speaker_turns
AAPL_2025-01-30,AAPL,Apple Inc.,Q1,2025,2025-01-30,2025-01-30 22:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q1 2025 Earnings Call, Jan 30, 2025.rtf",AAPL_Q1_2025.csv,,4524,4524,0,0,False,0.0,False,0,4524,127,6268,1,59
AAPL_2025-05-01,AAPL,Apple Inc.,Q2,2025,2025-05-01,2025-05-01 21:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q2 2025 Earnings Call, May 01, 2025.rtf",AAPL_Q2_2025.csv,,4101,4101,0,0,False,2.0,False,0,4101,132,6699,1,60
AAPL_2025-07-31,AAPL,Apple Inc.,Q3,2025,2025-07-31,2025-07-31 21:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q3 2025 Earnings Call, Jul 31, 2025.rtf",AAPL_Q3_2025.csv,,5110,5110,0,0,False,0.0,False,0,5110,156,5687,1,58
AAPL_2025-10-30,AAPL,Apple Inc.,Q4,2025,2025-10-30,2025-10-30 21:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q4 2025 Earnings Call, Oct 30, 2025.rtf",AAPL_Q4_2025.csv,,5502,5502,0,0,False,0.0,False,0,5502,170,5298,1,67
AAPL_2026-01-29,AAPL,Apple Inc.,Q1,2026,2026-01-29,2026-01-29 22:00:00+00:00,S&P Capital IQ,Databento,"Apple Inc., Q1 2026 Earnings Call, Jan 29, 2026.rtf",AAPL_Q1_2026.csv,,5040,5040,0,0,False,6.0,False,0,5040,124,5753,1,74
AMD_2025-02-04,AMD,"Advanced Micro Devices, Inc.",Q4,2024,2025-02-04,2025-02-04 22:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q4 2024 Earnings Call, Feb 04, 2025.rtf",AMD_Q4_2024.csv,,6610,6610,0,0,False,0.0,False,0,6610,128,4189,1,45
AMD_2025-05-06,AMD,"Advanced Micro Devices, Inc.",Q1,2025,2025-05-06,2025-05-06 21:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q1 2025 Earnings Call, May 06, 2025.rtf",AMD_Q1_2025.csv,,4700,4700,0,0,False,2.0,False,0,4700,78,6081,1,58
AMD_2025-08-05,AMD,"Advanced Micro Devices, Inc.",Q2,2025,2025-08-05,2025-08-05 21:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q2 2025 Earnings Call, Aug 05, 2025.rtf",AMD_Q2_2025.csv,,6892,6892,0,0,False,0.0,False,0,6892,121,3907,1,54
AMD_2025-11-04,AMD,"Advanced Micro Devices, Inc.",Q3,2025,2025-11-04,2025-11-04 22:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q3 2025 Earnings Call, Nov 04, 2025.rtf",AMD_Q3_2025.csv,,5210,5210,0,0,False,3.0,False,0,5210,68,5585,1,59
AMD_2026-02-03,AMD,"Advanced Micro Devices, Inc.",Q4,2025,2026-02-03,2026-02-03 22:00:00+00:00,S&P Capital IQ,Databento,"Advanced Micro Devices, Inc., Q4 2025 Earnings Call, Feb 03, 2026.rtf",AMD_Q4_2025.csv,,6241,6241,0,0,False,0.0,False,0,6241,119,4553,1,61
AMZN_2025-02-06,AMZN,"Amazon.com, Inc.",Q4,2024,2025-02-06,2025-02-06 22:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q4 2024 Earnings Call, Feb 06, 2025.rtf",AMZN_Q4_2024.csv,,5251,5251,0,0,False,7.0,False,0,5251,106,5549,1,24
AMZN_2025-05-01,AMZN,"Amazon.com, Inc.",Q1,2025,2025-05-01,2025-05-01 21:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q1 2025 Earnings Call, May 01, 2025.rtf",AMZN_Q1_2025.csv,,4751,4751,0,0,False,0.0,False,0,4751,88,5966,1,28
AMZN_2025-07-31,AMZN,"Amazon.com, Inc.",Q2,2025,2025-07-31,2025-07-31 21:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q2 2025 Earnings Call, Jul 31, 2025.rtf",AMZN_Q2_2025.csv,,6792,6792,0,0,False,1.0,False,0,6792,213,4008,1,26
AMZN_2025-10-30,AMZN,"Amazon.com, Inc.",Q3,2025,2025-10-30,2025-10-30 21:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q3 2025 Earnings Call, Oct 30, 2025.rtf",AMZN_Q3_2025.csv,,7981,7981,0,0,False,0.0,False,0,7981,277,2817,1,26
AMZN_2026-02-05,AMZN,"Amazon.com, Inc.",Q4,2025,2026-02-05,2026-02-05 22:00:00+00:00,S&P Capital IQ,Databento,"Amazon.com, Inc., Q4 2025 Earnings Call, Feb 05, 2026.rtf",AMZN_Q4_2025.csv,,7590,7590,0,0,False,0.0,False,0,7590,248,3210,1,24
AVGO_2024-12-12,AVGO,Broadcom Inc.,Q4,2024,2024-12-12,2024-12-12 22:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q4 2024 Earnings Call, Dec 12, 2024.rtf",AVGO_Q4_2024.csv,,5660,5660,0,0,False,0.0,False,0,5660,111,5136,1,50
AVGO_2025-03-06,AVGO,Broadcom Inc.,Q1,2025,2025-03-06,2025-03-06 22:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q1 2025 Earnings Call, Mar 06, 2025.rtf",AVGO_Q1_2025.csv,,4412,4412,0,0,False,0.0,False,0,4412,62,6386,1,46
AVGO_2025-06-05,AVGO,Broadcom Inc.,Q2,2025,2025-06-05,2025-06-05 21:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q2 2025 Earnings Call, Jun 05, 2025.rtf",AVGO_Q2_2025.csv,,3420,3420,0,0,False,0.0,False,0,3420,60,7377,1,70
AVGO_2025-09-04,AVGO,Broadcom Inc.,Q3,2025,2025-09-04,2025-09-04 21:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q3 2025 Earnings Call, Sep 04, 2025.rtf",AVGO_Q3_2025.csv,,3730,3730,0,0,False,8.0,False,0,3730,60,7067,1,59
AVGO_2025-12-11,AVGO,Broadcom Inc.,Q4,2025,2025-12-11,2025-12-11 22:00:00+00:00,S&P Capital IQ,Databento,"Broadcom Inc., Q4 2025 Earnings Call, Dec 11, 2025.rtf",AVGO_Q4_2025.csv,,5228,5228,0,0,False,5.0,False,0,5228,125,5564,1,44
GOOGL_2025-02-04,GOOGL,Alphabet Inc.,Q4,2024,2025-02-04,2025-02-04 21:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q4 2024 Earnings Call, Feb 04, 2025.rtf",GOOGL_Q4_2024.csv,,6217,6217,0,0,False,0.0,False,0,6217,265,4583,1,36
GOOGL_2025-04-24,GOOGL,Alphabet Inc.,Q1,2025,2025-04-24,2025-04-24 20:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q1 2025 Earnings Call, Apr 24, 2025.rtf",GOOGL_Q1_2025.csv,,5408,5408,0,0,False,2.0,False,0,5408,213,5362,1,36
GOOGL_2025-07-23,GOOGL,Alphabet Inc.,Q2,2025,2025-07-23,2025-07-23 20:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q2 2025 Earnings Call, Jul 23, 2025.rtf",GOOGL_Q2_2025.csv,,6198,6198,0,0,False,0.0,False,0,6198,327,4601,1,38
GOOGL_2025-10-29,GOOGL,Alphabet Inc.,Q3,2025,2025-10-29,2025-10-29 21:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q3 2025 Earnings Call, Oct 29, 2025.rtf",GOOGL_Q3_2025.csv,,3159,3159,0,0,False,7.0,False,0,3159,89,7597,1,37
GOOGL_2026-02-04,GOOGL,Alphabet Inc.,Q4,2025,2026-02-04,2026-02-04 21:30:00+00:00,S&P Capital IQ,Databento,"Alphabet Inc., Q4 2025 Earnings Call, Feb 04, 2026.rtf",GOOGL_Q4_2025.csv,,7154,7154,0,0,False,0.0,False,0,7154,191,3642,1,39
META_2025-01-29,META,"Meta Platforms, Inc.",Q4,2024,2025-01-29,2025-01-29 22:00:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q4 2024 Earnings Call, Jan 29, 2025.rtf",META_Q4_2024.csv,,4861,4861,0,0,False,0.0,False,0,4861,89,5929,1,36
META_2025-04-30,META,"Meta Platforms, Inc.",Q1,2025,2025-04-30,2025-04-30 21:00:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q1 2025 Earnings Call, Apr 30, 2025.rtf",META_Q1_2025.csv,,4822,4822,0,0,False,5.0,False,0,4822,86,5970,1,38
META_2025-07-30,META,"Meta Platforms, Inc.",Q2,2025,2025-07-30,2025-07-30 21:00:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q2 2025 Earnings Call, Jul 30, 2025.rtf",META_Q2_2025.csv,,5373,5373,0,0,False,6.0,False,0,5373,89,5427,1,34
META_2025-10-29,META,"Meta Platforms, Inc.",Q3,2025,2025-10-29,2025-10-29 20:30:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q3 2025 Earnings Call, Oct 29, 2025.rtf",META_Q3_2025.csv,,8455,8455,0,0,False,0.0,False,0,8455,380,2343,1,40
META_2026-01-28,META,"Meta Platforms, Inc.",Q4,2025,2026-01-28,2026-01-28 21:30:00+00:00,S&P Capital IQ,Databento,"Meta Platforms, Inc., Q4 2025 Earnings Call, Jan 28, 2026.rtf",META_Q4_2025.csv,,7511,7511,0,0,False,0.0,False,0,7511,352,3286,1,38
MSFT_2025-01-29,MSFT,Microsoft Corporation,Q2,2025,2025-01-29,2025-01-29 22:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q2 2025 Earnings Call, Jan 29, 2025.rtf",MSFT_Q2_2025.csv,,2931,2931,0,0,False,11.0,False,0,2931,193,6054,1,35
MSFT_2025-04-30,MSFT,Microsoft Corporation,Q3,2025,2025-04-30,2025-04-30 21:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q3 2025 Earnings Call, Apr 30, 2025.rtf",MSFT_Q3_2025.csv,,3709,3709,0,0,False,0.0,False,0,3709,223,7065,1,33
MSFT_2025-07-30,MSFT,Microsoft Corporation,Q4,2025,2025-07-30,2025-07-30 21:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q4 2025 Earnings Call, Jul 30, 2025.rtf",MSFT_Q4_2025.csv,,3055,3055,0,0,False,2.0,False,0,3055,89,7744,1,34
MSFT_2025-10-29,MSFT,Microsoft Corporation,Q1,2026,2025-10-29,2025-10-29 21:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q1 2026 Earnings Call, Oct 29, 2025.rtf",MSFT_Q1_2026.csv,,3861,3861,0,0,False,3.0,False,0,3861,173,6936,1,33
MSFT_2026-01-28,MSFT,Microsoft Corporation,Q2,2026,2026-01-28,2026-01-28 22:30:00+00:00,S&P Capital IQ,Databento,"Microsoft Corporation, Q2 2026 Earnings Call, Jan 28, 2026.rtf",MSFT_Q2_2026.csv,,5025,5025,0,0,False,0.0,False,0,5025,166,3975,1,37
MU_2024-12-18,MU,"Micron Technology, Inc.",Q1,2025,2024-12-18,2024-12-18 21:30:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q1 2025 Earnings Call, Dec 18, 2024.rtf",MU_Q1_2025.csv,,5011,5011,0,0,False,4.0,False,0,5011,171,5761,1,41
MU_2025-03-20,MU,"Micron Technology, Inc.",Q2,2025,2025-03-20,2025-03-20 22:00:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q2 2025 Earnings Call, Mar 20, 2025.rtf",MU_Q2_2025.csv,,1090,1090,0,0,False,0.0,False,0,1090,4,9671,1,48
MU_2025-06-25,MU,"Micron Technology, Inc.",Q3,2025,2025-06-25,2025-06-25 22:00:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q3 2025 Earnings Call, Jun 25, 2025.rtf",MU_Q3_2025.csv,,1843,1843,0,0,False,0.0,False,0,1843,13,8945,1,42
MU_2025-09-23,MU,"Micron Technology, Inc.",Q4,2025,2025-09-23,2025-09-23 22:00:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q4 2025 Earnings Call, Sep 23, 2025.rtf",MU_Q4_2025.csv,,2505,2505,0,0,False,4.0,False,0,2505,19,8288,1,65
MU_2025-12-17,MU,"Micron Technology, Inc.",Q1,2026,2025-12-17,2025-12-17 23:00:00+00:00,S&P Capital IQ,Databento,"Micron Technology, Inc., Q1 2026 Earnings Call, Dec 17, 2025.rtf",MU_Q1_2026.csv,,2369,2369,0,0,False,0.0,False,0,2369,6,4829,1,50
NVDA_2024-11-20,NVDA,NVIDIA Corporation,Q3,2025,2024-11-20,2024-11-20 22:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q3 2025 Earnings Call, Nov 20, 2024.rtf",NVDA_Q3_2025.csv,,7096,7096,0,0,False,0.0,False,0,7096,107,3699,1,31
NVDA_2025-02-26,NVDA,NVIDIA Corporation,Q4,2025,2025-02-26,2025-02-26 22:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q4 2025 Earnings Call, Feb 26, 2025.rtf",NVDA_Q4_2025.csv,,7260,7260,0,0,False,0.0,False,0,7260,186,3537,1,37
NVDA_2025-05-28,NVDA,NVIDIA Corporation,Q1,2026,2025-05-28,2025-05-28 21:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q1 2026 Earnings Call, May 28, 2025.rtf",NVDA_Q1_2026.csv,,7672,7672,0,0,False,0.0,False,0,7672,113,3125,1,28
NVDA_2025-08-27,NVDA,NVIDIA Corporation,Q2,2026,2025-08-27,2025-08-27 21:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q2 2026 Earnings Call, Aug 27, 2025.rtf",NVDA_Q2_2026.csv,,6475,6475,0,0,False,0.0,False,0,6475,109,4318,1,29
NVDA_2025-11-19,NVDA,NVIDIA Corporation,Q3,2026,2025-11-19,2025-11-19 22:00:00+00:00,S&P Capital IQ,Databento,"NVIDIA Corporation, Q3 2026 Earnings Call, Nov 19, 2025.rtf",NVDA_Q3_2026.csv,,7514,7514,0,0,False,0.0,False,0,7514,109,3286,1,35
ORCL_2024-12-09,ORCL,Oracle Corporation,Q2,2025,2024-12-09,2024-12-09 22:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q2 2025 Earnings Call, Dec 09, 2024.rtf",ORCL_Q2_2025.csv,,2,2,0,0,False,inf,True,0,2,0,256,1,35
ORCL_2025-03-10,ORCL,Oracle Corporation,Q3,2025,2025-03-10,2025-03-10 21:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q3 2025 Earnings Call, Mar 10, 2025.rtf",ORCL_Q3_2025.csv,,1,1,0,0,False,inf,True,0,1,0,0,1,39
ORCL_2025-06-11,ORCL,Oracle Corporation,Q4,2025,2025-06-11,2025-06-11 21:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q4 2025 Earnings Call, Jun 11, 2025.rtf",ORCL_Q4_2025.csv,,2,2,0,0,False,inf,True,0,2,0,0,1,39
ORCL_2025-09-09,ORCL,Oracle Corporation,Q1,2026,2025-09-09,2025-09-09 21:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q1 2026 Earnings Call, Sep 09, 2025.rtf",ORCL_Q1_2026.csv,,1,1,0,0,False,inf,True,0,1,0,0,1,34
ORCL_2025-12-10,ORCL,Oracle Corporation,Q2,2026,2025-12-10,2025-12-10 22:00:00+00:00,S&P Capital IQ,Databento,"Oracle Corporation, Q2 2026 Earnings Call, Dec 10, 2025.rtf",ORCL_Q2_2026.csv,,1,1,0,0,False,inf,True,0,1,0,0,1,29
