ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-05-06 20:00:00+00:00,32,2,773,98.55,98.62,98.55,98.62,1568510,AMD
2025-05-06 20:00:05+00:00,32,2,773,98.58,98.58,98.58,98.58,10,AMD
2025-05-06 20:00:07+00:00,32,2,773,98.56,98.6,98.56,98.6,118,AMD
2025-05-06 20:00:08+00:00,32,2,773,98.6,98.6,98.6,98.6,20,AMD
2025-05-06 20:00:09+00:00,32,2,773,98.61,98.82,98.61,98.82,656,AMD
2025-05-06 20:00:10+00:00,32,2,773,98.82,98.82,98.82,98.82,90,AMD
2025-05-06 20:00:12+00:00,32,2,773,98.81,98.81,98.81,98.81,21,AMD
2025-05-06 20:00:18+00:00,32,2,773,98.78,98.78,98.78,98.78,50,AMD
2025-05-06 20:00:22+00:00,32,2,773,98.84,98.84,98.84,98.84,24,AMD
2025-05-06 20:00:23+00:00,32,2,773,98.82,98.82,98.8,98.8,64,AMD
2025-05-06 20:00:25+00:00,32,2,773,98.78,98.78,98.78,98.78,1,AMD
2025-05-06 20:00:26+00:00,32,2,773,98.74,98.74,98.7,98.7,955,AMD
2025-05-06 20:00:27+00:00,32,2,773,98.7,98.7,98.7,98.7,73,AMD
2025-05-06 20:00:28+00:00,32,2,773,98.7,98.7,98.7,98.7,139,AMD
2025-05-06 20:00:30+00:00,32,2,773,98.7,98.7,98.7,98.7,125,AMD
2025-05-06 20:00:32+00:00,32,2,773,98.66,98.66,98.66,98.66,84,AMD
2025-05-06 20:00:33+00:00,32,2,773,98.7,98.7,98.7,98.7,63,AMD
2025-05-06 20:00:38+00:00,32,2,773,98.7,98.7,98.7,98.7,14,AMD
2025-05-06 20:00:40+00:00,32,2,773,98.7,98.7,98.7,98.7,5,AMD
2025-05-06 20:00:42+00:00,32,2,773,98.67,98.7,98.62,98.65,705,AMD
2025-05-06 20:00:43+00:00,32,2,773,98.7,98.7,98.7,98.7,70,AMD
2025-05-06 20:00:51+00:00,32,2,773,98.76,98.76,98.76,98.76,12,AMD
2025-05-06 20:00:53+00:00,32,2,773,98.75,98.75,98.75,98.75,80,AMD
2025-05-06 20:00:54+00:00,32,2,773,98.76,98.76,98.76,98.76,10,AMD
2025-05-06 20:00:55+00:00,32,2,773,98.76,98.76,98.75,98.75,214,AMD
2025-05-06 20:01:00+00:00,32,2,773,98.75,98.76,98.75,98.76,100,AMD
2025-05-06 20:01:01+00:00,32,2,773,98.76,98.76,98.76,98.76,5,AMD
2025-05-06 20:01:02+00:00,32,2,773,98.73,98.73,98.73,98.73,10,AMD
2025-05-06 20:01:08+00:00,32,2,773,98.76,98.76,98.76,98.76,75,AMD
2025-05-06 20:01:09+00:00,32,2,773,98.76,98.76,98.76,98.76,145,AMD
2025-05-06 20:01:10+00:00,32,2,773,98.76,98.76,98.76,98.76,51,AMD
2025-05-06 20:01:11+00:00,32,2,773,98.74,98.74,98.74,98.74,20,AMD
2025-05-06 20:01:12+00:00,32,2,773,98.76,98.76,98.76,98.76,13,AMD
2025-05-06 20:01:13+00:00,32,2,773,98.76,98.76,98.76,98.76,180,AMD
2025-05-06 20:01:16+00:00,32,2,773,98.76,98.76,98.76,98.76,175,AMD
2025-05-06 20:01:17+00:00,32,2,773,98.75,98.76,98.75,98.76,135,AMD
2025-05-06 20:01:19+00:00,32,2,773,98.76,98.76,98.7,98.7,1905,AMD
2025-05-06 20:01:23+00:00,32,2,773,98.7,98.7,98.7,98.7,50,AMD
2025-05-06 20:01:27+00:00,32,2,773,98.69,98.69,98.69,98.69,50,AMD
2025-05-06 20:01:35+00:00,32,2,773,98.69,98.69,98.69,98.69,750,AMD
2025-05-06 20:01:36+00:00,32,2,773,98.69,98.69,98.69,98.69,1067,AMD
2025-05-06 20:01:38+00:00,32,2,773,98.75,98.76,98.75,98.76,275,AMD
2025-05-06 20:01:39+00:00,32,2,773,98.72,98.72,98.72,98.72,145,AMD
2025-05-06 20:01:41+00:00,32,2,773,98.76,98.76,98.76,98.76,5,AMD
2025-05-06 20:01:44+00:00,32,2,773,98.71,98.71,98.71,98.71,20,AMD
2025-05-06 20:01:48+00:00,32,2,773,98.76,98.76,98.76,98.76,225,AMD
2025-05-06 20:01:49+00:00,32,2,773,98.76,98.76,98.76,98.76,122,AMD
2025-05-06 20:01:50+00:00,32,2,773,98.75,98.75,98.75,98.75,100,AMD
2025-05-06 20:01:56+00:00,32,2,773,98.74,98.74,98.74,98.74,100,AMD
2025-05-06 20:01:57+00:00,32,2,773,98.75,98.76,98.75,98.76,35,AMD
2025-05-06 20:01:59+00:00,32,2,773,98.76,98.76,98.76,98.76,25,AMD
2025-05-06 20:02:00+00:00,32,2,773,98.7,98.7,98.58,98.58,1373,AMD
2025-05-06 20:02:01+00:00,32,2,773,98.6,98.6,98.6,98.6,1582,AMD
2025-05-06 20:02:02+00:00,32,2,773,98.6,98.6,98.6,98.6,180,AMD
2025-05-06 20:02:05+00:00,32,2,773,98.71,98.71,98.71,98.71,50,AMD
2025-05-06 20:02:08+00:00,32,2,773,98.74,98.74,98.74,98.74,6,AMD
2025-05-06 20:02:09+00:00,32,2,773,98.71,98.71,98.71,98.71,10,AMD
2025-05-06 20:02:26+00:00,32,2,773,98.7,98.7,98.7,98.7,50,AMD
2025-05-06 20:02:34+00:00,32,2,773,98.65,98.65,98.65,98.65,100,AMD
2025-05-06 20:02:36+00:00,32,2,773,98.63,98.63,98.63,98.63,60,AMD
2025-05-06 20:02:40+00:00,32,2,773,98.62,98.62,98.62,98.62,100,AMD
2025-05-06 20:02:42+00:00,32,2,773,98.7,98.7,98.7,98.7,5000,AMD
2025-05-06 20:02:46+00:00,32,2,773,98.6,98.6,98.6,98.6,6,AMD
2025-05-06 20:02:49+00:00,32,2,773,98.66,98.66,98.66,98.66,10,AMD
2025-05-06 20:02:55+00:00,32,2,773,98.69,98.69,98.68,98.68,160,AMD
2025-05-06 20:02:58+00:00,32,2,773,98.7,98.74,98.7,98.71,425,AMD
2025-05-06 20:02:59+00:00,32,2,773,98.74,98.75,98.74,98.75,125,AMD
2025-05-06 20:03:02+00:00,32,2,773,98.76,98.76,98.76,98.76,68,AMD
2025-05-06 20:03:07+00:00,32,2,773,98.71,98.71,98.7,98.71,7406,AMD
2025-05-06 20:03:15+00:00,32,2,773,98.7,98.74,98.7,98.74,8225,AMD
2025-05-06 20:03:16+00:00,32,2,773,98.74,98.74,98.74,98.74,5,AMD
2025-05-06 20:03:17+00:00,32,2,773,98.74,98.74,98.74,98.74,1770,AMD
2025-05-06 20:03:18+00:00,32,2,773,98.7,98.7,98.7,98.7,30,AMD
2025-05-06 20:03:22+00:00,32,2,773,98.7,98.7,98.7,98.7,4,AMD
2025-05-06 20:03:33+00:00,32,2,773,98.7,98.7,98.7,98.7,3,AMD
2025-05-06 20:03:35+00:00,32,2,773,98.73,98.73,98.73,98.73,27,AMD
2025-05-06 20:03:38+00:00,32,2,773,98.7,98.7,98.58,98.61,1037,AMD
2025-05-06 20:03:44+00:00,32,2,773,98.65,98.65,98.65,98.65,125,AMD
2025-05-06 20:03:49+00:00,32,2,773,98.65,98.65,98.65,98.65,9,AMD
2025-05-06 20:03:50+00:00,32,2,773,98.65,98.65,98.65,98.65,2,AMD
2025-05-06 20:03:54+00:00,32,2,773,98.65,98.65,98.65,98.65,20,AMD
2025-05-06 20:03:55+00:00,32,2,773,98.65,98.65,98.65,98.65,10,AMD
2025-05-06 20:03:56+00:00,32,2,773,98.65,98.65,98.65,98.65,1,AMD
2025-05-06 20:03:57+00:00,32,2,773,98.65,98.66,98.65,98.66,138,AMD
2025-05-06 20:04:02+00:00,32,2,773,98.67,98.67,98.67,98.67,5,AMD
2025-05-06 20:04:05+00:00,32,2,773,98.67,98.67,98.67,98.67,95,AMD
2025-05-06 20:04:08+00:00,32,2,773,98.56,98.56,98.55,98.55,935,AMD
2025-05-06 20:04:09+00:00,32,2,773,98.67,98.67,98.67,98.67,10,AMD
2025-05-06 20:04:17+00:00,32,2,773,98.67,98.67,98.67,98.67,10,AMD
2025-05-06 20:04:22+00:00,32,2,773,98.75,98.79,98.75,98.79,315,AMD
2025-05-06 20:04:24+00:00,32,2,773,98.79,98.79,98.79,98.79,80,AMD
2025-05-06 20:04:29+00:00,32,2,773,98.82,98.85,98.82,98.82,105,AMD
2025-05-06 20:04:33+00:00,32,2,773,98.95,98.95,98.94,98.94,26,AMD
2025-05-06 20:04:34+00:00,32,2,773,98.93,98.93,98.93,98.93,95,AMD
2025-05-06 20:04:35+00:00,32,2,773,98.95,98.95,98.95,98.95,1,AMD
2025-05-06 20:04:36+00:00,32,2,773,98.95,99.05,98.95,99.05,1308,AMD
2025-05-06 20:04:37+00:00,32,2,773,99.05,99.05,98.87,99.04,255,AMD
2025-05-06 20:04:38+00:00,32,2,773,99.01,99.01,99.01,99.01,80,AMD
2025-05-06 20:04:39+00:00,32,2,773,99.05,99.05,99.05,99.05,235,AMD
2025-05-06 20:04:41+00:00,32,2,773,99.06,99.1,99.06,99.1,525,AMD
2025-05-06 20:04:42+00:00,32,2,773,99.05,99.05,99.05,99.05,4,AMD
2025-05-06 20:04:43+00:00,32,2,773,99.05,99.05,98.98,98.98,935,AMD
2025-05-06 20:04:47+00:00,32,2,773,99.13,99.13,99.13,99.13,1,AMD
2025-05-06 20:04:52+00:00,32,2,773,99.06,99.06,99.06,99.06,175,AMD
2025-05-06 20:04:53+00:00,32,2,773,99.01,99.01,99.01,99.01,80,AMD
2025-05-06 20:04:54+00:00,32,2,773,99.06,99.06,99.06,99.06,7,AMD
2025-05-06 20:04:55+00:00,32,2,773,99.06,99.1,99.06,99.1,1018,AMD
2025-05-06 20:04:56+00:00,32,2,773,99.08,99.08,99.02,99.02,480,AMD
2025-05-06 20:04:57+00:00,32,2,773,99.05,99.05,99.05,99.05,80,AMD
2025-05-06 20:04:58+00:00,32,2,773,99.02,99.02,99.02,99.02,12,AMD
2025-05-06 20:04:59+00:00,32,2,773,99.07,99.07,99.07,99.07,200,AMD
2025-05-06 20:05:00+00:00,32,2,773,99.08,99.08,99.08,99.08,1,AMD
2025-05-06 20:05:02+00:00,32,2,773,99.08,99.08,99.08,99.08,46,AMD
2025-05-06 20:05:08+00:00,32,2,773,99.07,99.07,99.07,99.07,10,AMD
2025-05-06 20:05:09+00:00,32,2,773,99.02,99.02,99.0,99.01,85,AMD
2025-05-06 20:05:10+00:00,32,2,773,99.01,99.02,99.01,99.02,165,AMD
2025-05-06 20:05:12+00:00,32,2,773,99.03,99.03,99.03,99.03,40,AMD
2025-05-06 20:05:13+00:00,32,2,773,99.0,99.0,99.0,99.0,50,AMD
2025-05-06 20:05:15+00:00,32,2,773,99.0,99.0,99.0,99.0,100,AMD
2025-05-06 20:05:16+00:00,32,2,773,99.0,99.0,99.0,99.0,50,AMD
2025-05-06 20:05:18+00:00,32,2,773,99.02,99.02,99.01,99.01,820,AMD
2025-05-06 20:05:19+00:00,32,2,773,99.01,99.01,99.01,99.01,2000,AMD
2025-05-06 20:05:20+00:00,32,2,773,99.09,99.09,99.09,99.09,45,AMD
2025-05-06 20:05:23+00:00,32,2,773,99.06,99.06,99.02,99.04,110,AMD
2025-05-06 20:05:24+00:00,32,2,773,99.08,99.08,99.08,99.08,900,AMD
2025-05-06 20:05:25+00:00,32,2,773,99.04,99.13,99.04,99.13,145,AMD
2025-05-06 20:05:26+00:00,32,2,773,99.15,99.16,99.15,99.15,160,AMD
2025-05-06 20:05:27+00:00,32,2,773,99.15,99.15,99.14,99.14,120,AMD
2025-05-06 20:05:29+00:00,32,2,773,99.18,99.2,99.14,99.14,676,AMD
2025-05-06 20:05:31+00:00,32,2,773,99.18,99.19,99.18,99.19,31,AMD
2025-05-06 20:05:33+00:00,32,2,773,99.18,99.18,99.18,99.18,1,AMD
2025-05-06 20:05:38+00:00,32,2,773,99.09,99.09,99.09,99.09,15,AMD
2025-05-06 20:05:40+00:00,32,2,773,99.19,99.19,99.19,99.19,100,AMD
2025-05-06 20:05:41+00:00,32,2,773,99.12,99.12,99.12,99.12,1,AMD
2025-05-06 20:05:42+00:00,32,2,773,99.09,99.09,99.08,99.08,157,AMD
2025-05-06 20:05:43+00:00,32,2,773,99.07,99.07,99.07,99.07,100,AMD
2025-05-06 20:05:44+00:00,32,2,773,99.02,99.02,98.82,98.82,1671,AMD
2025-05-06 20:05:45+00:00,32,2,773,99.01,99.07,98.88,98.88,103,AMD
2025-05-06 20:05:49+00:00,32,2,773,98.9,98.91,98.9,98.91,70,AMD
2025-05-06 20:06:04+00:00,32,2,773,98.82,98.82,98.81,98.81,143,AMD
2025-05-06 20:06:06+00:00,32,2,773,98.98,98.99,98.98,98.99,10,AMD
2025-05-06 20:06:12+00:00,32,2,773,98.99,99.2,98.91,98.91,2081,AMD
2025-05-06 20:06:13+00:00,32,2,773,98.98,98.98,98.98,98.98,1,AMD
2025-05-06 20:06:15+00:00,32,2,773,98.9,98.9,98.9,98.9,20,AMD
2025-05-06 20:06:20+00:00,32,2,773,98.9,98.9,98.9,98.9,10,AMD
2025-05-06 20:06:24+00:00,32,2,773,98.9,98.91,98.9,98.91,1418,AMD
2025-05-06 20:06:25+00:00,32,2,773,98.91,98.91,98.76,98.77,5300,AMD
2025-05-06 20:06:27+00:00,32,2,773,98.97,98.97,98.97,98.97,5,AMD
2025-05-06 20:06:31+00:00,32,2,773,98.97,98.97,98.97,98.97,100,AMD
2025-05-06 20:06:35+00:00,32,2,773,98.97,98.97,98.97,98.97,25,AMD
2025-05-06 20:06:37+00:00,32,2,773,98.86,98.86,98.86,98.86,30,AMD
2025-05-06 20:06:41+00:00,32,2,773,98.82,98.82,98.8,98.8,60,AMD
2025-05-06 20:06:47+00:00,32,2,773,98.91,98.96,98.91,98.96,30,AMD
2025-05-06 20:06:55+00:00,32,2,773,98.76,98.76,98.75,98.75,125,AMD
2025-05-06 20:07:03+00:00,32,2,773,98.99,98.99,98.99,98.99,10,AMD
2025-05-06 20:07:57+00:00,32,2,773,98.84,98.84,98.84,98.84,24,AMD
2025-05-06 20:08:03+00:00,32,2,773,98.98,98.98,98.98,98.98,20,AMD
2025-05-06 20:08:05+00:00,32,2,773,98.99,98.99,98.99,98.99,10,AMD
2025-05-06 20:08:07+00:00,32,2,773,98.99,98.99,98.99,98.99,10,AMD
2025-05-06 20:08:11+00:00,32,2,773,98.95,98.95,98.95,98.95,5,AMD
2025-05-06 20:08:25+00:00,32,2,773,98.95,98.95,98.95,98.95,50,AMD
2025-05-06 20:08:31+00:00,32,2,773,98.91,98.91,98.91,98.91,500,AMD
2025-05-06 20:08:32+00:00,32,2,773,98.9,98.9,98.9,98.9,20,AMD
2025-05-06 20:08:37+00:00,32,2,773,98.8,98.8,98.8,98.8,190,AMD
2025-05-06 20:08:39+00:00,32,2,773,98.8,98.8,98.8,98.8,50,AMD
2025-05-06 20:08:45+00:00,32,2,773,98.88,98.88,98.88,98.88,5,AMD
2025-05-06 20:08:49+00:00,32,2,773,98.88,98.88,98.88,98.88,50,AMD
2025-05-06 20:08:51+00:00,32,2,773,98.8,98.8,98.7,98.7,668,AMD
2025-05-06 20:08:54+00:00,32,2,773,98.67,98.67,98.67,98.67,180,AMD
2025-05-06 20:09:06+00:00,32,2,773,98.81,98.81,98.81,98.81,12,AMD
